DFT,MACE,num_al
-894462.4271066,-894461.8849963287,44
-894458.3614145,-894460.9091811132,44
-894461.3036531,-894461.8351686139,44
-894461.8870046,-894461.8460898311,44
-940238.0751918,-940237.5956949656,43
-940238.0324753,-940237.625341698,43
-940234.9605233,-940236.6879983643,43
-940236.4372917,-940237.057851232,43
-986013.0051426,-986013.2366570558,42
-986013.6994239,-986013.326878861,42
-986010.896555,-986012.9592591899,42
-986012.8848506,-986013.3602950248,42
-1031789.688422,-1031789.1278577007,41
-1031789.429976,-1031789.0655233278,41
-1031789.250133,-1031789.1063019154,41
-1031787.893309,-1031788.8096161084,41
-1077565.311392,-1077564.8705498662,40
-1077564.892664,-1077564.801454068,40
-1077560.972053,-1077564.2425676426,40
-1077564.140681,-1077564.7225825891,40
-1123341.017183,-1123340.6093882262,39
-1123338.057322,-1123340.0476080608,39
-1123340.376723,-1123340.3806744234,39
-1169116.814581,-1169116.3454020582,38
-1169116.362024,-1169116.3409754985,38
-1169115.011394,-1169116.2471607004,38
-1169114.793081,-1169116.2685808642,38
-1214892.507052,-1214892.1040381498,37
-1214892.257023,-1214891.9503909904,37
-1214886.841013,-1214891.5685202237,37
-1214889.919497,-1214891.8562786253,37
-1260668.485229,-1260667.8772395574,36
-1260668.435449,-1260667.8318683377,36
-1260663.042812,-1260667.3413050491,36
-1260666.442275,-1260667.6063312704,36
-1306444.1296,-1306443.6007351633,35
-1306443.464687,-1306443.5717912314,35
-1306442.906695,-1306443.5515253614,35
-1306443.738813,-1306443.5809269287,35
-1306442.877938,-1306443.5601793986,35
-1352219.86394,-1352219.3203841376,34
-1352219.908699,-1352219.323748111,34
-1352218.521938,-1352219.125075565,34
-1397994.876272,-1397994.948048125,33
-1397995.489377,-1397995.0392496046,33
-1397990.403229,-1397994.7712925975,33
-1397994.346,-1397994.9217138737,33
-1443769.872182,-1443770.7900242798,32
-1443770.973323,-1443770.8077292992,32
-1443770.711301,-1443770.7592904598,32
-1443766.911588,-1443770.560536812,32
-1489547.302873,-1489546.5480404936,31
-1489545.301826,-1489546.5082704786,31
-1489546.695505,-1489546.5076269917,31
-1489541.521034,-1489546.3114561331,31
-1489545.663775,-1489546.4483537606,31
-1535322.902511,-1535322.2983421518,30
-1535320.874821,-1535322.196602942,30
-1535320.24798,-1535322.0469157542,30
-1581097.287935,-1581097.9485303266,29
-1581092.816251,-1581097.8205035578,29
-1581095.133667,-1581097.9198801613,29
-1626874.467796,-1626873.7389344636,28
-1626874.28497,-1626873.725240282,28
-1626872.504858,-1626873.7220430803,28
-1626873.033153,-1626873.718308535,28
-1672650.283426,-1672649.4694709114,27
-1672649.682132,-1672649.4662165178,27
-1672648.829017,-1672649.4554633282,27
-1672645.415435,-1672649.4014390956,27
-1672648.837457,-1672649.4854298793,27
-1718426.063061,-1718425.2088109201,26
-1718425.140381,-1718425.1929385802,26
-1718423.107267,-1718425.1319391031,26
-1718420.632561,-1718425.1194727141,26
-1718424.491717,-1718425.198360328,26
-1764200.630427,-1764200.8979561813,25
-1764197.130912,-1764200.8461628265,25
-528251.4852154,-528253.9322455191,52
-528255.574788,-528255.51095143,52
-528256.2006076,-528255.7796856146,52
-1809977.613409,-1809976.6985126524,24
-1809976.576336,-1809976.672727936,24
-1809976.031918,-1809976.660167878,24
-1809974.617504,-1809976.6554691338,24
-1855753.288071,-1855752.3978201852,23
-1855751.87051,-1855752.373716661,23
-1855747.846489,-1855752.2740610186,23
-1855752.215089,-1855752.3628033483,23
-1901529.081634,-1901528.1545140175,22
-1901528.586073,-1901528.1353526392,22
-1901526.854953,-1901528.084951471,22
-1901523.666304,-1901528.016433373,22
-1901527.546032,-1901528.0909459188,22
-1947303.591147,-1947303.8117036654,21
-1947303.191686,-1947303.8296307437,21
-1947301.93436,-1947303.7933632713,21
-1993080.699626,-1993079.6081149615,20
-1993080.4606,-1993079.6002621164,20
-1993075.979179,-1993079.4592719872,20
-1993079.417965,-1993079.5309763255,20
-2038854.902593,-2038855.246380621,19
-2038853.776987,-2038855.2063938978,19
-2038855.894085,-2038855.264998638,19
-2038853.412692,-2038855.1954144244,19
-2084629.295905,-2084630.8565664364,18
-2084630.444341,-2084630.9826508004,18
-2084627.096756,-2084630.8278785446,18
-2084630.425195,-2084630.9000506331,18
-2130406.634828,-2130406.6612360217,17
-2130405.163498,-2130406.5973166954,17
-2176182.464032,-2176182.345670344,16
-2176182.776466,-2176182.4150288254,16
-2176180.721584,-2176182.2776758084,16
-2221959.024072,-2221958.164965451,15
-2221957.826284,-2221958.011149498,15
-2221956.786873,-2221957.9756094217,15
-2221957.645489,-2221958.010503235,15
-574032.0406628,-574031.5510746281,51
-574030.8402376,-574031.171480249,51
-574031.9356471,-574031.5524597956,51
-2267733.131525,-2267733.6669486375,14
-2267734.415352,-2267733.788038142,14
-2267732.526474,-2267733.6824695827,14
-2267734.797344,-2267733.879866015,14
-2267732.151905,-2267733.629135816,14
-2313510.05876,-2313509.55897404,13
-2313507.695172,-2313509.2748203813,13
-2313509.77465,-2313509.580164253,13
-2313507.689963,-2313509.247351649,13
-2359285.851795,-2359285.292584436,12
-2359284.249492,-2359284.97730698,12
-2359285.747548,-2359285.1262312075,12
-2359285.313968,-2359285.001644359,12
-2359284.028831,-2359284.9606190473,12
-2359285.058574,-2359285.050754243,12
-2405059.495811,-2405060.6342421407,11
-2405061.786808,-2405060.959137535,11
-2405060.221612,-2405060.604601359,11
-2450838.058892,-2450836.6452469346,10
-2450835.569594,-2450836.344675997,10
-2450836.163152,-2450836.3872598712,10
-2496613.757258,-2496612.480965793,9
-2496612.956268,-2496612.1495381542,9
-2496611.523715,-2496611.9319465123,9
-2496609.207084,-2496611.8274486405,9
-2496612.496741,-2496612.0982789444,9
-2542386.128309,-2542387.504437211,8
-2542386.799984,-2542387.5672263377,8
-2542384.892785,-2542387.4755312796,8
-2588162.724952,-2588163.205838944,7
-2588163.63485,-2588163.40678547,7
-2588163.651281,-2588163.436033994,7
-2588164.037611,-2588163.432284215,7
-2633940.443534,-2633939.290504059,6
-2633939.083164,-2633938.9879182638,6
-2679715.888456,-2679714.8287879094,5
-2679715.390276,-2679714.5988845765,5
-2679714.340356,-2679714.4329496147,5
-619807.7792747,-619807.3265723821,50
-619807.4771834,-619807.1943324638,50
-2725490.034756,-2725490.0681082895,4
-2725491.472929,-2725490.581621569,4
-2725490.627011,-2725490.3125016554,4
-2725489.001325,-2725489.935743725,4
-2771268.016087,-2771266.7206912753,3
-2771266.233531,-2771265.9612740288,3
-2771267.57856,-2771266.296542236,3
-2817041.537117,-2817041.2707338417,2
-2817042.891082,-2817041.8447204717,2
-2817042.841109,-2817041.607440174,2
-2817041.667014,-2817041.2947452827,2
-2862817.320944,-2862816.888265029,1
-665583.5552459,-665583.0969421597,49
-665578.5592516,-665581.5976770724,49
-665582.9323354,-665582.9145947973,49
-665583.5554881,-665583.0902439173,49
-711359.144313,-711358.832266202,48
-711356.4582307,-711358.0789750117,48
-711358.6060387,-711358.789190081,48
-757135.137674,-757134.6070878471,47
-757130.3872989,-757133.351816649,47
-757134.4769694,-757134.5145868639,47
-802910.9486216,-802910.3721118242,46
-802908.8921015,-802909.6159839233,46
-802910.6369657,-802910.3330960029,46
-802910.4184444,-802910.2408024839,46
-848686.4743352,-848686.109500138,45
-848683.1539936,-848685.018925741,45
-848686.3715351,-848686.0922122898,45
